"sexo" "edad"
"1" "hombre" 59.3
"2" "hombre" 58.6
"3" "hombre" 58.7
"4" "hombre" 58.3
"5" "hombre" 58
"6" "hombre" 57.7
"7" "hombre" 57.5
"8" "hombre" 57
"9" "hombre" 56.4
"10" "hombre" 56.3
"11" "hombre" 56.4
"12" "hombre" 56.1
"13" "hombre" 55.8
"14" "hombre" 55.4
"15" "hombre" 54.2
"16" "hombre" 53.7
"17" "hombre" 75.1
"18" "hombre" 74.7
"19" "hombre" 74.3
"20" "hombre" 74
"21" "hombre" 73.6
"22" "hombre" 73.2
"23" "hombre" 73
"24" "hombre" 72.2
"25" "hombre" 72.9
"26" "hombre" 71.5
"27" "hombre" 70.6
"28" "hombre" 69.9
"29" "hombre" 69.9
"30" "hombre" 70.4
"31" "hombre" 70.5
"32" "hombre" 69.4
"33" "hombre" 73.8
"34" "hombre" 73.6
"35" "hombre" 73.5
"36" "hombre" 73.3
"37" "hombre" 73.2
"38" "hombre" 73
"39" "hombre" 72.7
"40" "hombre" 72.5
"41" "hombre" 72.3
"42" "hombre" 71.8
"43" "hombre" 71.3
"44" "hombre" 70.6
"45" "hombre" 69.9
"46" "hombre" 69.8
"47" "hombre" 69.7
"48" "hombre" 69.6
"49" "hombre" 50.9
"50" "hombre" 50.2
"51" "hombre" 49.7
"52" "hombre" 49.1
"53" "hombre" 48.6
"54" "hombre" 48.2
"55" "hombre" 47.7
"56" "hombre" 47.3
"57" "hombre" 46.8
"58" "hombre" 46.4
"59" "hombre" 46
"60" "hombre" 45.6
"61" "hombre" 45.4
"62" "hombre" 45
"63" "hombre" 44.1
"64" "hombre" 43.8
"65" "hombre" 74.1
"66" "hombre" 73.9
"67" "hombre" 73.8
"68" "hombre" 73.6
"69" "hombre" 73.5
"70" "hombre" 73.3
"71" "hombre" 73.1
"72" "hombre" 73
"73" "hombre" 72.8
"74" "hombre" 72.6
"75" "hombre" 72.4
"76" "hombre" 72.1
"77" "hombre" 71.9
"78" "hombre" 71.7
"79" "hombre" 71.5
"80" "hombre" 71.3
"81" "hombre" 72.7
"82" "hombre" 72.5
"83" "hombre" 72.4
"84" "hombre" 72.2
"85" "hombre" 72.1
"86" "hombre" 71.9
"87" "hombre" 71.8
"88" "hombre" 71.6
"89" "hombre" 71.1
"90" "hombre" 71.5
"91" "hombre" 71.2
"92" "hombre" 71.1
"93" "hombre" 70.4
"94" "hombre" 70.3
"95" "hombre" 70.3
"96" "hombre" 70.4
"97" "hombre" 71.6
"98" "hombre" 71.4
"99" "hombre" 71.2
"100" "hombre" 71.2
"101" "hombre" 70.7
"102" "hombre" 70.6
"103" "hombre" 70.6
"104" "hombre" 70.3
"105" "hombre" 70.6
"106" "hombre" 69.8
"107" "hombre" 69.7
"108" "hombre" 69.7
"109" "hombre" 69.3
"110" "hombre" 69.1
"111" "hombre" 69.1
"112" "hombre" 68.7
"113" "hombre" 80.9
"114" "hombre" 80.7
"115" "hombre" 80.4
"116" "hombre" 80.3
"117" "hombre" 79.9
"118" "hombre" 79.6
"119" "hombre" 79.4
"120" "hombre" 79
"121" "hombre" 79
"122" "hombre" 78.9
"123" "hombre" 78.6
"124" "hombre" 78.1
"125" "hombre" 77.8
"126" "hombre" 77.4
"127" "hombre" 77.2
"128" "hombre" 76.7
"129" "hombre" 79
"130" "hombre" 78.9
"131" "hombre" 78.5
"132" "hombre" 78.2
"133" "hombre" 78.1
"134" "hombre" 77.6
"135" "hombre" 77.4
"136" "hombre" 77.6
"137" "hombre" 77.2
"138" "hombre" 77
"139" "hombre" 76.4
"140" "hombre" 76.3
"141" "hombre" 75.8
"142" "hombre" 75.6
"143" "hombre" 75.5
"144" "hombre" 74.9
"145" "hombre" 69.6
"146" "hombre" 69.4
"147" "hombre" 69.2
"148" "hombre" 68.9
"149" "hombre" 68.6
"150" "hombre" 68.2
"151" "hombre" 67.9
"152" "hombre" 67.2
"153" "hombre" 67.4
"154" "hombre" 66.2
"155" "hombre" 65.4
"156" "hombre" 65.6
"157" "hombre" 65
"158" "hombre" 64.9
"159" "hombre" 64.5
"160" "hombre" 63.4
"161" "hombre" 72.9
"162" "hombre" 72.2
"163" "hombre" 71.8
"164" "hombre" 71.9
"165" "hombre" 72
"166" "hombre" 71.7
"167" "hombre" 71.2
"168" "hombre" 71.2
"169" "hombre" 71.1
"170" "hombre" 71
"171" "hombre" 70.9
"172" "hombre" 70.7
"173" "hombre" 70.1
"174" "hombre" 70
"175" "hombre" 69.8
"176" "hombre" 69.5
"177" "hombre" 76.2
"178" "hombre" 76
"179" "hombre" 75.9
"180" "hombre" 75.8
"181" "hombre" 75.3
"182" "hombre" 75.4
"183" "hombre" 75.2
"184" "hombre" 75
"185" "hombre" 74.9
"186" "hombre" 74.7
"187" "hombre" 74.6
"188" "hombre" 74.5
"189" "hombre" 74.3
"190" "hombre" 74.2
"191" "hombre" 74
"192" "hombre" 73.7
"193" "hombre" 70.6
"194" "hombre" 70.2
"195" "hombre" 69.8
"196" "hombre" 69.5
"197" "hombre" 69.2
"198" "hombre" 68.9
"199" "hombre" 68.6
"200" "hombre" 68.2
"201" "hombre" 67.8
"202" "hombre" 67.5
"203" "hombre" 67.1
"204" "hombre" 66.6
